bh_id,category,log10_mbh_final,row_fraction,left_fraction,right_fraction,coordinate,window_width,abs_left_row_difference,abs_right_row_difference,abs_left_right_difference
110694975207,sag,6.235465317692652,0.49398280802292266,0.42412936424150816,0.43653446194109696,S_hat,0.4,0.0698534437814145,0.057448346081825696,0.012405097699588807
110721309313,sag,6.204518805917378,0.2789115646258503,0.30391992981421484,0.33688153547974997,S_hat,0.4,0.025008365188364523,0.057969970853899655,0.03296160566553513
110753063737,ctrl,8.144891651485306,0.24433249370277077,0.23686394096405908,0.2325663954620377,S_hat,0.4,0.007468552738711692,0.011766098240733075,0.004297545502021383
110815526165,ctrl,8.43332171535114,0.2544492544492544,0.26369745549951373,0.26331833797939896,S_hat,0.4,0.009248201050259308,0.00886908353014454,0.00037911752011476896
110847073774,ctrl,8.18150059318375,0.4460806524694155,0.44705806442262874,0.4698101399817081,S_hat,0.4,0.0009774119532132697,0.023729487512292646,0.022752075559079377
110889311383,ctrl,8.103926822217757,0.4097222222222222,0.40081159339747685,0.4368649829781073,S_hat,0.4,0.008910628824745359,0.027142760755885065,0.036053389580630424
110892318199,ctrl,7.857106855047881,0.36005227619255065,0.3519787820613029,0.36694384268528724,S_hat,0.4,0.00807349413124775,0.006891566492736589,0.014965060623984339
111038325262,ctrl,7.932073789505135,0.5473908413205538,0.5780224886084903,0.5334698369965285,S_hat,0.4,0.030631647287936437,0.013921004324025321,0.04455265161196176
111064284210,sag,6.915217732926879,0.3654899573950091,0.3336084788893495,0.3170567787594199,S_hat,0.4,0.03188147850565959,0.048433178635589214,0.016551700129929625
111070818948,sag,6.50319531933824,0.43795309168443497,0.42539549755264827,0.4345331933818973,S_hat,0.4,0.012557594131786698,0.003419898302537694,0.009137695829249004
111077967557,sag,7.308000651982168,0.33227445997458704,0.3220285454281542,0.3527054224924812,S_hat,0.4,0.010245914546432866,0.02043096251789417,0.030676877064327035
111102225300,ctrl,7.823504226327737,0.455026455026455,0.49578129795830056,0.45743868509242996,S_hat,0.4,0.04075484293184556,0.002412230065974963,0.038342612865870596
111126699684,sag,6.565774629051601,0.3829605963791267,0.35867680487493037,0.3951727536589026,S_hat,0.4,0.02428379150419635,0.01221215727977587,0.03649594878397222
111128163906,ctrl,8.134792086057738,0.316995544239338,0.2970739976303799,0.3003892205429944,S_hat,0.4,0.01992154660895812,0.016606323696343628,0.0033152229126144905
111164639965,ctrl,7.856008282307528,0.4510178117048346,0.4709982796168286,0.4224930211296762,S_hat,0.4,0.019980467911993982,0.028524790575158443,0.048505258487152425
111177285675,ctrl,7.654900069197981,0.3810597519729425,0.3003885037602746,0.5054656922129278,S_hat,0.4,0.08067124821266791,0.1244059402399853,0.20507718845265321
111209480517,ctrl,7.656667302177937,0.375880469583778,0.3892403842802615,0.36067827912102585,S_hat,0.4,0.013359914696483455,0.015202190462752174,0.02856210515923563
