coordinate,window_width,residence_mode,metric,obs_slope,n_bins,n_perm,exceedances_negative,p_one_sided_negative,confirmatory_status,time_order_information
H_hat,0.4,left_endpoint,mad2,-0.0004919369945393463,6,2000,1998,0.999000499750125,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.4,left_endpoint,iqr2,-0.025233965166317852,6,2000,1845,0.9225387306346826,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.4,right_endpoint,variance,-0.011249667645529574,6,2000,1487,0.7436281859070465,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.4,right_endpoint,mad2,-0.002059159334056624,6,2000,1985,0.992503748125937,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.4,right_endpoint,iqr2,-0.034822376383612894,6,2000,1178,0.5892053973013494,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.5,row,variance,-0.016658658715736546,6,2000,369,0.18490754622688654,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.5,row,mad2,-0.007550888604170355,6,2000,1447,0.7236381809095452,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.5,row,iqr2,-0.05757265639178256,6,2000,229,0.11494252873563218,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.5,left_endpoint,variance,-0.017157716833465005,6,2000,508,0.2543728135932034,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.5,left_endpoint,mad2,-0.010424603200587171,6,2000,1359,0.6796601699150425,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.5,left_endpoint,iqr2,-0.04194107667412824,6,2000,1299,0.6496751624187906,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.5,right_endpoint,variance,-0.018719092808288724,6,2000,191,0.095952023988006,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.5,right_endpoint,mad2,-0.012418075019190719,6,2000,993,0.496751624187906,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.5,right_endpoint,iqr2,-0.049370478663646904,6,2000,826,0.41329335332333833,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.2,row,variance,-0.0006780545166263084,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.2,row,mad2,0.00014396139884388886,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.2,row,iqr2,0.0008801750955914816,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.2,left_endpoint,variance,-0.0005676991135139156,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.2,left_endpoint,mad2,0.0001418418838353004,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.2,left_endpoint,iqr2,0.0002331554521117434,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.2,right_endpoint,variance,-0.0007110776449782181,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.2,right_endpoint,mad2,-3.311287126310754e-05,6,2000,2,0.0014992503748125937,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.2,right_endpoint,iqr2,0.0002842600591350376,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.3,row,variance,-0.0016239085456850773,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.3,row,mad2,1.2235424038089051e-05,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.3,row,iqr2,0.0017446127144486161,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.3,left_endpoint,variance,-0.0015136262653993246,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.3,left_endpoint,mad2,0.00016505993328139835,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.3,left_endpoint,iqr2,0.0015634006629074975,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.3,right_endpoint,variance,-0.0013895560765186978,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.3,right_endpoint,mad2,0.00024326673836171594,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.3,right_endpoint,iqr2,0.0010127842861796983,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.4,row,variance,-0.002372291628194255,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.4,row,mad2,0.0004480591210800915,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.4,row,iqr2,0.002873496738611361,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.4,left_endpoint,variance,-0.0020160443302275283,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.4,left_endpoint,mad2,0.0009420432240834737,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.4,left_endpoint,iqr2,0.0030410681603220183,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.4,right_endpoint,variance,-0.002153251965125157,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.4,right_endpoint,mad2,0.000665225139876449,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.4,right_endpoint,iqr2,0.0026381067253623443,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.5,row,variance,-0.003085120525651403,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.5,row,mad2,0.0007580392510037474,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.5,row,iqr2,0.004031172235165034,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.5,left_endpoint,variance,-0.003086115447062647,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.5,left_endpoint,mad2,0.0015734316401131779,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.5,left_endpoint,iqr2,0.006810331667089139,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.5,right_endpoint,variance,-0.0029785488653377387,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.5,right_endpoint,mad2,0.0007933333949428543,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
S_hat,0.5,right_endpoint,iqr2,0.004892384278000746,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
