selected_tau_track_fraction,selected_memory_column,baseline_test_rmse,augmented_test_rmse,fractional_test_improvement,permutation
0.02,memory_tau_0.02,0.2787917521096492,0.27701139119891866,0.006385988456467352,113
0.02,memory_tau_0.02,0.2787917521096492,0.2770415402926005,0.0062778464707246694,114
0.02,memory_tau_0.02,0.2787917521096492,0.2769861233333978,0.006476621932277407,115
0.05,memory_tau_0.05,0.2787917521096492,0.2772257663078241,0.005617044944748559,116
0.02,memory_tau_0.02,0.2787917521096492,0.27707667991550966,0.006151803922323289,117
0.02,memory_tau_0.02,0.2787917521096492,0.2769914460509695,0.006457529841024991,118
0.02,memory_tau_0.02,0.2787917521096492,0.27700472054809466,0.006409915458516426,119
0.02,memory_tau_0.02,0.2787917521096492,0.27700144075280025,0.006421679778190842,120
0.02,memory_tau_0.02,0.2787917521096492,0.27703930003648,0.006285882060384507,121
0.05,memory_tau_0.05,0.2787917521096492,0.2772129045108206,0.005663179010430801,122
0.02,memory_tau_0.02,0.2787917521096492,0.27698512029215827,0.0064802197476070255,123
0.02,memory_tau_0.02,0.2787917521096492,0.27703721091338207,0.006293375549994924,124
0.02,memory_tau_0.02,0.2787917521096492,0.2770147966724492,0.00637377334068724,125
0.02,memory_tau_0.02,0.2787917521096492,0.2770292930659233,0.0063217761299937175,126
0.05,memory_tau_0.05,0.2787917521096492,0.27719959871820765,0.0057109056469336825,127
0.02,memory_tau_0.02,0.2787917521096492,0.2770089619548847,0.0063947019281376865,128
0.02,memory_tau_0.02,0.2787917521096492,0.2770979606384034,0.006075471955065565,129
0.02,memory_tau_0.02,0.2787917521096492,0.2770428201672802,0.006273255679677039,130
0.02,memory_tau_0.02,0.2787917521096492,0.27705856733413575,0.006216772061577223,131
0.02,memory_tau_0.02,0.2787917521096492,0.27702486847477276,0.006337646725579989,132
0.02,memory_tau_0.02,0.2787917521096492,0.27706791131106384,0.006183256088248092,133
0.05,memory_tau_0.05,0.2787917521096492,0.27723300054495204,0.0055910964112169574,134
0.02,memory_tau_0.02,0.2787917521096492,0.2770092944709526,0.0063935092240301,135
0.02,memory_tau_0.02,0.2787917521096492,0.2769920018852703,0.006455536115254403,136
0.02,memory_tau_0.02,0.2787917521096492,0.2770457674223893,0.00626268415061718,137
0.02,memory_tau_0.02,0.2787917521096492,0.2770526461745323,0.006238010708555318,138
0.02,memory_tau_0.02,0.2787917521096492,0.2770241604842066,0.006340186221676325,139
0.02,memory_tau_0.02,0.2787917521096492,0.277048188762217,0.0062539990305970445,140
0.02,memory_tau_0.02,0.2787917521096492,0.27706357932782255,0.006198794507905451,141
0.02,memory_tau_0.02,0.2787917521096492,0.27703336023899444,0.00630718755970644,142
0.02,memory_tau_0.02,0.2787917521096492,0.2770013191938314,0.006422115798869056,143
0.02,memory_tau_0.02,0.2787917521096492,0.2770272130873766,0.006329236818952185,144
0.02,memory_tau_0.02,0.2787917521096492,0.2769875826642771,0.006471387448587476,145
0.02,memory_tau_0.02,0.2787917521096492,0.27705953844407394,0.006213288780845862,146
0.02,memory_tau_0.02,0.2787917521096492,0.2770095396739073,0.0063926297039122795,147
0.02,memory_tau_0.02,0.2787917521096492,0.27700663402852804,0.0064030519827539606,148
0.02,memory_tau_0.02,0.2787917521096492,0.27704683191712204,0.0062588659073417085,149
0.02,memory_tau_0.02,0.2787917521096492,0.2770320868820885,0.0063117549721075665,150
0.02,memory_tau_0.02,0.2787917521096492,0.2770965563806638,0.006080508896542362,151
0.02,memory_tau_0.02,0.2787917521096492,0.27697524423904807,0.006515644228551922,152
0.02,memory_tau_0.02,0.2787917521096492,0.277088631602612,0.006108934335931691,153
