selected_tau_track_fraction,selected_memory_column,baseline_test_rmse,augmented_test_rmse,fractional_test_improvement,permutation
0.02,memory_tau_0.02,0.28414664836272024,0.28067627767009945,0.012213308559567383,66
0.02,memory_tau_0.02,0.28414664836272024,0.28074730987211993,0.011963324255934816,67
0.02,memory_tau_0.02,0.28414664836272024,0.28074352345348386,0.01197664983502538,68
0.02,memory_tau_0.02,0.28414664836272024,0.28062738570843065,0.012385374504918192,69
0.02,memory_tau_0.02,0.28414664836272024,0.2805845316974289,0.012536191033104131,70
0.02,memory_tau_0.02,0.28414664836272024,0.2807210167231346,0.012055857985038568,71
0.02,memory_tau_0.02,0.28414664836272024,0.2806400471241915,0.012340815064101994,72
0.05,memory_tau_0.05,0.28414664836272024,0.28098905882495356,0.011112534868741227,73
0.02,memory_tau_0.02,0.28414664836272024,0.2806805229553193,0.012198368086947617,74
0.02,memory_tau_0.02,0.28414664836272024,0.2807104086740866,0.012093190992867923,75
0.02,memory_tau_0.02,0.28414664836272024,0.2806165842018381,0.012423388349722592,76
0.02,memory_tau_0.02,0.28414664836272024,0.2805909245645031,0.012513692555254778,77
0.02,memory_tau_0.02,0.28414664836272024,0.28067580193451086,0.01221498282034551,78
0.02,memory_tau_0.02,0.28414664836272024,0.28066804027727527,0.01224229849441845,79
0.02,memory_tau_0.02,0.28414664836272024,0.28073019913803376,0.012023542225017898,80
0.02,memory_tau_0.02,0.28414664836272024,0.28082134381447105,0.011702775899029304,81
0.02,memory_tau_0.02,0.28414664836272024,0.28085470860498135,0.011585354874700653,82
0.02,memory_tau_0.02,0.28414664836272024,0.2806938233253749,0.012151559968209531,83
0.05,memory_tau_0.05,0.28414664836272024,0.2809725902575914,0.01117049285436957,84
0.02,memory_tau_0.02,0.28414664836272024,0.2806236802346662,0.01239841521395273,85
0.02,memory_tau_0.02,0.28414664836272024,0.28066817788855514,0.012241814197733396,86
0.02,memory_tau_0.02,0.28414664836272024,0.28068992707042223,0.012165272095292936,87
0.02,memory_tau_0.02,0.28414664836272024,0.2806923692327615,0.01215667737016309,88
0.02,memory_tau_0.02,0.28414664836272024,0.28065794464838645,0.012277828137111719,89
0.02,memory_tau_0.02,0.28414664836272024,0.2806458069184239,0.012320544565521122,90
0.02,memory_tau_0.02,0.28414664836272024,0.2807117126640939,0.012088601848442607,91
0.02,memory_tau_0.02,0.28414664836272024,0.2806740567820421,0.012221124552014044,92
0.02,memory_tau_0.02,0.28414664836272024,0.28072657577451343,0.012036293962690016,93
0.02,memory_tau_0.02,0.28414664836272024,0.2806089840240114,0.012450135727777152,94
